10000,42000,,,,,,,,,,,,
42000,,,,,,,,,,,,,
42000,,,,,,,,,,,,,
42000,,,,,,,,,,,,,
20000,38000,42000,62000,82000,92000,102000,124000,138000,144000,156000,166000,176000,186000
8000,42000,94000,156000,162000,178000,,,,,,,,
10000,42000,94000,138000,178000,,,,,,,,,
42000,,,,,,,,,,,,,
20000,42000,62000,82000,86000,94000,104000,124000,144000,166000,178000,186000,,
42000,,,,,,,,,,,,,
42000,,,,,,,,,,,,,
10000,38000,42000,94000,106000,136000,154000,162000,178000,190000,,,,
42000,,,,,,,,,,,,,
10000,22000,42000,62000,82000,94000,104000,124000,146000,154000,164000,168000,176000,186000
42000,156000,,,,,,,,,,,,
42000,,,,,,,,,,,,,
